player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
100644,Alexander,Zverev,R,19970420,GER,198,Q13990552
104527,Stan,Wawrinka,R,19850328,SUI,183,Q193661
105550,Guido,Pella,L,19900517,ARG,185,Q336862
105777,Grigor,Dimitrov,R,19910516,BUL,188,Q337681
106421,Daniil,Medvedev,R,19960211,RUS,198,Q21622022
111153,Christopher,Eubanks,R,19960505,USA,201,Q24817523
111513,Laslo,Djere,R,19950602,SRB,188,Q18098061
122330,Alexander,Bublik,R,19970617,KAZ,196,Q23678983
123755,Daniel Elahi,Galan,R,19960618,COL,191,Q20740881
126094,Andrey,Rublev,R,19971020,RUS,188,Q17373391
126128,Roman,Safiullin,R,19970807,RUS,185,Q18637944
126207,Frances,Tiafoe,R,19980120,USA,188,Q17305299
128034,Hubert,Hurkacz,R,19970211,POL,196,Q18927958
133430,Denis,Shapovalov,L,19990415,CAN,185,Q20979382
200221,Alejandro,Davidovich Fokina,R,19990605,ESP,183,Q33084529
206173,Jannik,Sinner,R,20010816,ITA,188,Q54812588
207518,Lorenzo,Musetti,R,20020303,ITA,185,Q54813043
207989,Carlos,Alcaraz,R,20030505,ESP,185,Q85518537
208103,Jiri,Lehecka,R,20011108,CZE,185,Q61415365
