player_id,last_name,first_name,country
100644,Zverev,Alexander,GER
104527,Wawrinka,Stan,SUI
105550,Pella,Guido,ARG
105777,Dimitrov,Grigor,BUL
106421,Medvedev,Daniil,RUS
111153,Eubanks,Christopher,USA
111513,Djere,Laslo,SRB
122330,Bublik,Alexander,KAZ
123755,Galan,Daniel Elahi,COL
126094,Rublev,Andrey,RUS
126128,Safiullin,Roman,RUS
126207,Tiafoe,Frances,USA
128034,Hurkacz,Hubert,POL
133430,Shapovalov,Denis,CAN
200221,Davidovich Fokina,Alejandro,ESP
206173,Sinner,Jannik,ITA
207518,Musetti,Lorenzo,ITA
207989,Alcaraz,Carlos,ESP
208103,Lehecka,Jiri,CZE
